X,Y,EARLY_VOTE_CENTER,LOCATION,ADDRESS,VOTING_SPACE,DATES_OPEN,TIME_OPEN,STATUS,MAR_MARID,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_ZIPCODE,MAR_WARD,MAR_ANC,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GIS_ID,SE_ANNO_CAD_DATA,OBJECTID
396960.539999999,139697.289999999,EDVC,COLUMBIA HEIGHTS COMMUNITY CENTER,"1480 Girard Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,284045,1480 GIRARD STREET NW,396960.54,139697.29,38.92514592,-77.03505184,20009,Ward 1,1B,{0A016390-0AC5-43F7-9D58-55C6D05F9AC5},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_1,,1
397719.420000002,138760.329999998,EDVC,PRINCE HALL CENTER(MASONIC TEMPLE),"1000 U Street, NW",Ballroom,"Tuesday, November 5, 2024",07:00:00,Open,242764,1000 U STREET NW,397719.42,138760.33,38.91670778,-77.02629713,20001,Ward 1,1B,{57AAFAB1-3A4B-4285-AC9B-19777425527F},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_2,,2
394274.710000001,138395.050000001,EDVC,GEORGETOWN NEIGHBORHOOD LIBRARY,"3260 R Street, NW",Community Room,"Tuesday, November 5, 2024",07:00:00,Open,295142,3260 R STREET NW,394274.71,138395.05,38.91340152,-77.06601466,20007,Ward 2,2E,{A71F3B12-8BFE-437D-A4A5-31D40323A3CB},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_3,,3
397851.640000001,136760.32,EDVC,M.L.K. Jr. MEMORIAL LIBRARY,"901 G Street, NW",Lobby,"Tuesday, November 5, 2024",07:00:00,Open,239815,901 G STREET NW,397851.64,136760.32,38.89869166,-77.02476625,20001,Ward 2,2C,{ECA1AF60-2B2C-410F-AF16-1B0C947F207A},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_4,,4
395608.43,137346.760000002,EDVC,WEST END PUBLIC LIBRARY,"2301 L Street, NW",Meeting Room,"Tuesday, November 5, 2024",07:00:00,Open,242337,2301 L STREET NW,395608.43,137346.76,38.90396584,-77.05062968,20037,Ward 2,2A,{22F02EC8-061B-4FF5-9E0B-04FD942AC352},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_5,,5
394980.5,140656.780000001,EDVC,CLEVELAND PARK LIBRARY,"3310 Connecticut Avenue, NW",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,221190,3310 CONNECTICUT AVENUE NW,394980.5,140656.78,38.93378022,-77.05789318,20008,Ward 3,3C,{F9C4D31A-D98C-42B0-A1C1-AF1B1E874EBF},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_6,,6
393490.740000002,144141.129999999,EDVC,CHEVY CHASE COMMUNITY CENTER,"5601 Connecticut Avenue, NW",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,263959,5601 CONNECTICUT AVENUE NW,393490.74,144141.13,38.96515875,-77.07510862,20015,Ward 3,3G,{650DEB1C-C8F2-465A-8A57-D0EE60DA6963},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_7,,7
394416.719999999,141805.02,EDVC,UNIVERSITY OF THE DISTRICT OF COLUMBIA,"4200 Connecticut Avenue, NW",Student Center,"Tuesday, November 5, 2024",07:00:00,Open,297694,4200 CONNECTICUT AVENUE NW,394416.72,141805.02,38.9441205,-77.06440497,20008,Ward 3,3F,{0289BAB7-05AA-42B9-A03A-61EF556A37C4},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_8,,8
397583.920000002,143434.890000001,EDVC,EMERY HEIGHTS COMMUNITY CENTER,"5801 Georgia Avenue, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,285269,5801 GEORGIA AVENUE NW,397583.92,143434.89,38.95881757,-77.02787602,20011,Ward 4,4B,{93765BCD-0705-4676-B686-53BC6EE1FEE5},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_9,,9
398440.43,144553.140000001,EDVC,TAKOMA COMMUNITY CENTER,"300 Van Buren Street, NW",Community Room,"Tuesday, November 5, 2024",07:00:00,Open,296168,300 VAN BUREN STREET NW,398440.43,144553.14,38.96889264,-77.0179964,20012,Ward 4,4B,{7EB487B7-3B46-49A7-9A4E-A1DD25AC8988},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_10,,10
397690.850000001,140949.859999999,EDVC,RAYMOND RECREATION CENTER,"3725 10th Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,310493,3725 10TH STREET NW,397690.85,140949.86,38.93643168,-77.02663393,20010,Ward 4,4C,{A00B8C57-4B9B-4D42-A0E2-30F2A8F997B8},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_11,,11
400625.079999998,141135.23,EDVC,TURKEY THICKET RECREATION CENTER,"1100 Michigan Avenue, NE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,74603,1100 MICHIGAN AVENUE NE,400625.08,141135.23,38.93810436,-76.99279011,20017,Ward 5,5B,{5B1DF9BA-1742-44EB-A284-8690D7E57A64},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_12,,12
401852.530000001,139948.670000002,EDVC,WOODRIDGE NEIGHBORHOOD LIBRARY,"1801 Hamlin Street, NE",Community Room,"Tuesday, November 5, 2024",07:00:00,Open,286483,1801 HAMLIN STREET NE,401852.53,139948.67,38.92741373,-76.97863547,20018,Ward 5,5C,{2A1AF5FB-FE54-4A2A-A16C-0D5F28B23CE0},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_13,,13
398818.890000001,137349.690000001,EDVC,WALKER JONES MS/RH TERRELL REC CTR,"155 L Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,307736,155 L STREET NW,398818.89,137349.69,38.90400275,-77.01361683,20001,Ward 6,6E,{0A159BC5-BE94-474B-ACC5-12EC276BD7ED},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_15,,15
400592.719999999,136749.309999999,EDVC,SHERWOOD RECREATION CENTER,"640 10th Street, NE ",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,301075,640 10TH STREET NE,400592.72,136749.31,38.89859457,-76.99316714,20002,Ward 6,6A,{A5318DA5-2C9F-4929-8F2D-CB23645DFB67},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_16,,16
398893.159999996,134139.41,EDVC,KING GREENLEAF RECREATION CENTER,"201 N Street, SW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,52917,201 N STREET SW,398893.16,134139.41,38.87508311,-77.01275541,20024,Ward 6,6D,{44D85F7D-622D-4D72-AF25-2DED86557AFC},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_17,,17
401810.049999997,136662.579999998,EDVC,ROSEDALE RECREATION CENTER,"1701 Gales Street, NE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,307101,1701 GALES STREET NE,401810.05,136662.58,38.89781195,-76.97913403,20002,Ward 7,6A,{4560882C-4849-4DE6-B7AC-CF657E3E4BFC},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_18,,18
405884.390000001,137844.91,EDVC,DEANWOOD RECREATION CENTER,"1350 49th Street, NE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,307551,1350 49TH STREET NE,405884.39,137844.91,38.90844496,-76.93215558,20019,Ward 7,7C,{DEF8782E-E593-4C96-9A9B-5CD8B127E3B8},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_19,,19
404492.369999997,135673.100000001,EDVC,BENNING STODDERT RECREATION CENTER,"100 Stoddert Place, SE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,295821,100 STODDERT PLACE SE,404492.37,135673.1,38.8888884,-76.94821916,20019,Ward 7,7F,{F42D895F-1A80-4BB9-BBAA-DF84569C42E1},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_20,,20
403242.439999998,132333.129999999,EDVC,HILLCREST RECREATION CENTER,"3100 Denver Street, SE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,296174,3100 DENVER STREET SE,403242.44,132333.13,38.85880612,-76.9626421,20020,Ward 7,7B,{2D666EC5-BC9A-4930-B88C-DF2E32FF7122},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_21,,21
400273.329999998,129383.219999999,EDVC,FEREBEE-HOPE RECREATION CENTER,"700 Yuma Street, SE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,289444,700 YUMA STREET SE,400273.33,129383.22,38.83223796,-76.99685199,20032,Ward 8,8E,{9887F2F1-E37D-4F3C-946F-E50BBD5CD0B1},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_23,,23
400075.789999999,134452.539999999,EDVC,ARTHUR CAPPER COMMUNITY CENTER,"1000 5th Street, SE",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,289437,1000 5TH STREET SE,400075.79,134452.54,38.8779046,-76.99912655,20003,Ward 8,6D,{156D7138-6D94-42FC-8416-CBD202133536},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_24,,24
399117.530000001,127901.539999999,EDVC,BALD EAGLE RECREATION CENTER,"100 Joliet Street, SW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,301277,100 JOLIET STREET SW,399117.53,127901.54,38.81889022,-77.01016173,20032,Ward 8,8D,{5E5F71B1-4C1B-4615-89CF-A09192D268B2},,,JLAY,2024/08/28 22:40:53+00,BOE_VoteCentersPt_25,,25
396916.840000004,140162.530000001,EDVC,COLUMBIA HEIGHTS EDUCATION CAMPUS,"3101 16th Street, NW",Auditorium,"Tuesday, November 5, 2024",07:00:00,Open,234375,3101 16TH STREET NW,396916.84,140162.53,38.92933679,-77.03555789,20010,Ward 1,1A,{64F675D3-B997-467F-8407-36AF71D69CA2},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_26,,26
396459.869999997,139027.66,EDVC,MARIE REED ELEMENTARY SCHOOL,"2201 18th Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,310614,2201 18TH STREET NW,396459.87,139027.66,38.91911214,-77.04082224,20009,Ward 1,1C,{20988C42-9EAE-45DE-8425-A03B3241E894},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_27,,27
396658.130000003,139570.190000001,EDVC,H.D. COOKE ELEMENTARY SCHOOL,"2525 17th Street, NW",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,235863,2525 17TH STREET NW,396658.13,139570.19,38.92399986,-77.03853869,20009,Ward 1,1C,{772DF20B-E7E1-40FD-BA08-C9932782B1E9},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_28,,28
396483.93,140715.670000002,EDVC,BANCROFT ELEMENTARY SCHOOL,"1755 Newton Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,294528,1755 NEWTON STREET NW,396483.93,140715.67,38.93431836,-77.04055344,20010,Ward 1,1D,{B12667CF-272E-4F1B-A3D5-03A28D664A12},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_31,,31
398073.030000001,138286.68,EDVC,SHAW/WATHA T. DANIEL LIBRARY,"1630 7th Street, NW",Community Room,"Tuesday, November 5, 2024",07:00:00,Open,308201,1630 7TH STREET NW,398073.03,138286.68,38.91244216,-77.02221836,20001,Ward 2,6E,{8121F9A8-330B-40E5-896C-048F4A2CD12F},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_33,,33
397034.340000004,138334.949999999,EDVC,FIFTEENTH  STREET PRESBYTERIAN CHURCH,"1701 15th Street, NW",Church Hall,"Tuesday, November 5, 2024",07:00:00,Open,240136,1701 15TH STREET NW,397034.34,138334.95,38.91287377,-77.03419487,20009,Ward 2,2F,{B34A5572-5C6F-4357-A65B-7D41BB88D485},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_35,,35
394048.32,138616.539999999,EDVC,HARDY MIDDLE SCHOOL,"1819 35th Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,274432,1819 35TH STREET NW,394048.32,138616.54,38.91539528,-77.06862693,20007,Ward 2,2E,{3CCB28AF-797F-4259-8DD8-C83957D1248F},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_36,,36
393426.079999998,140254.789999999,EDVC,ANNUNCIATION CHURCH,"3810 Massachusetts Avenue, NW",Church Hall,"Tuesday, November 5, 2024",07:00:00,Open,263608,3810 MASSACHUSETTS AVENUE NW,393426.08,140254.79,38.93014905,-77.07581747,20016,Ward 3,3C,{4904A8DB-C7BF-45DA-AD5E-387790451B90},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_38,,38
392978.880000003,142186.879999999,EDVC,JANNEY ELEMENTARY SCHOOL,"4130 Albemarle Street, NW",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,285713,4130 ALBEMARLE STREET NW,392978.88,142186.88,38.94755042,-77.08099483,20016,Ward 3,3E,{ECF43A79-2866-4D22-99BA-EC7588ACE91C},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_40,,40
393925.57,142783.670000002,EDVC,MURCH ELEMENTARY SCHOOL,"4810 36th Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,294602,4810 36TH STREET NW,393925.57,142783.67,38.95293352,-77.07007921,20008,Ward 3,3F,{BEC7A14C-4FD0-46E1-8852-671D2D22DB33},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_41,,41
390932.25,139627.149999999,EDVC,PALISADES RECREATION CENTER,"5200 Sherier Place, NW",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,268352,5200 SHERIER PLACE NW,390932.25,139627.15,38.92447255,-77.10457067,20016,Ward 3,3D,{B0600F34-C1FF-4150-BA15-57D9B5B2F128},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_42,,42
392372.700000003,140714.309999999,EDVC,HORACE MANN ELEMENTARY SCHOOL,"4430 Newark Street, NW",Multi-Purpose Room,"Tuesday, November 5, 2024",07:00:00,Open,294597,4430 NEWARK STREET NW,392372.7,140714.31,38.9342797,-77.08797127,20016,Ward 3,3D,{31EAD53D-C4F5-466E-9ECC-B94A9C3CA3E7},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_43,,43
395039.600000001,139526.149999999,EDVC,OYSTER-ADAMS BILINGUAL SCHOOL,"2801 Calvert Street, NW",Gymnasium,"Tuesday, November 5, 2024",07:00:00,Open,275944,2801 CALVERT STREET NW,395039.6,139526.15,38.92359583,-77.05720337,20008,Ward 3,3C,{1639CA0D-43A2-479B-B5D3-045876FDCF3B},,,JLAY,2024/08/28 22:42:10+00,BOE_VoteCentersPt_44,,44
